msync: bootstrapped mach port on wine-1771f07-msync.
010c:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\win32u.dll" at 00006FFFFF570000: builtin
010c:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\user32.dll" at 00006FFFFF5C0000: builtin
010c:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\gdi32.dll" at 00006FFFFF780000: builtin
010c:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\shcore.dll" at 00006FFFFEAE0000: builtin
010c:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\shlwapi.dll" at 00006FFFFEB10000: builtin
010c:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\shell32.dll" at 00006FFFFEB70000: builtin
010c:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\imm32.dll" at 00006FFFFE5E0000: builtin
0114:trace:loaddll:build_module Loaded L"Z:\\Users\\zhaoxinyu\\Downloads\\yuanshen_setup_20240313190827.exe" at 0000000140000000: native
0114:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\kernelbase.dll" at 00006FFFFFC10000: builtin
0114:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\kernel32.dll" at 00006FFFFFEC0000: builtin
0114:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\msvcrt.dll" at 00006FFFFFB00000: builtin
0114:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\ucrtbase.dll" at 00006FFFFF9E0000: builtin
0114:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\sechost.dll" at 00006FFFFFAC0000: builtin
0114:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\advapi32.dll" at 00006FFFFFBB0000: builtin
0114:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\win32u.dll" at 00006FFFFF570000: builtin
0114:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\user32.dll" at 00006FFFFF5C0000: builtin
0114:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\gdi32.dll" at 00006FFFFF780000: builtin
0114:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\rpcrt4.dll" at 00006FFFFF4E0000: builtin
0114:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\combase.dll" at 00006FFFFF820000: builtin
0114:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\coml2.dll" at 00006FFFFF4B0000: builtin
0114:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\ole32.dll" at 00006FFFFF880000: builtin
0114:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\IMM32.dll" at 00006FFFFE5E0000: builtin
0114:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\OLEAUT32.dll" at 00006FFFFE800000: builtin
0114:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\WTSAPI32.dll" at 00006FFFFEAC0000: builtin
0114:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\UxTheme.dll" at 00006FFFFE4D0000: builtin
0114:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\dwmapi.dll" at 00006FFFFEAA0000: builtin
0114:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\dnsapi.dll" at 00006FFFFE2C0000: builtin
0114:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\nsi.dll" at 00006FFFFE2A0000: builtin
0114:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\ws2_32.dll" at 00006FFFFF9A0000: builtin
0114:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\IPHLPAPI.DLL" at 00006FFFFE2F0000: builtin
0114:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\bcrypt.dll" at 00006FFFFE980000: builtin
0114:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\CRYPT32.dll" at 00006FFFFE9B0000: builtin
0114:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\WSOCK32.dll" at 00006FFFFE950000: builtin
0114:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\MPR.dll" at 00006FFFFE7D0000: builtin
0114:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\NETAPI32.dll" at 00006FFFFE260000: builtin
0114:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\USERENV.dll" at 00006FFFFE720000: builtin
0114:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\VERSION.dll" at 00006FFFFE240000: builtin
0114:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\shcore.dll" at 00006FFFFEAE0000: builtin
0114:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\shlwapi.dll" at 00006FFFFEB10000: builtin
0114:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\SHELL32.dll" at 00006FFFFEB70000: builtin
0114:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\msacm32.dll" at 00006FFFFE120000: builtin
0114:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\WINMM.dll" at 00006FFFFE160000: builtin
0114:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\opengl32.dll" at 000000007BEE0000: builtin
0114:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\wined3d.dll" at 00006FFFFDE10000: builtin
0114:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\d3d9.dll" at 00006FFFFE0D0000: builtin
0114:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\dxgi.dll" at 00006FFFFDDF0000: builtin
0114:trace:loaddll:build_module Loaded L"c:\\windows\\system32\\winemac.drv" at 00006FFFFE520000: builtin
0114:fixme:thread:get_thread_times not implemented on this platform
0114:trace:loaddll:build_module Loaded L"C:\\windows\\system32\\wintab32.dll" at 00006FFFFDDC0000: builtin
0114:fixme:win:NtUserActivateKeyboardLayout Aliased keyboard layout not yet implemented
0114:fixme:font:find_matching_face Untranslated charset 255
0114:fixme:font:get_nearest_charset returning DEFAULT_CHARSET face->fs.fsCsb[0] = 00000000 file = L"\\??\\Z:\\System\\Library\\Fonts\\Apple Braille Pinpoint 8 Dot.ttf"
0114:fixme:font:find_matching_face Untranslated charset 255
0114:fixme:font:get_nearest_charset returning DEFAULT_CHARSET face->fs.fsCsb[0] = 00000000 file = L"\\??\\Z:\\System\\Library\\Fonts\\Supplemental\\Baghdad.ttc"
0114:fixme:font:find_matching_face Untranslated charset 255
0114:fixme:font:get_nearest_charset returning DEFAULT_CHARSET face->fs.fsCsb[0] = 00000000 file = L"\\??\\Z:\\System\\Library\\Fonts\\Supplemental\\Gujarati Sangam MN.ttc"
0114:fixme:font:find_matching_face Untranslated charset 255
0114:fixme:font:get_nearest_charset returning DEFAULT_CHARSET face->fs.fsCsb[0] = 00000000 file = L"\\??\\Z:\\System\\Library\\Fonts\\Supplemental\\Gurmukhi Sangam MN.ttc"
0114:fixme:font:find_matching_face Untranslated charset 255
0114:fixme:font:get_nearest_charset returning DEFAULT_CHARSET face->fs.fsCsb[0] = 00000000 file = L"\\??\\Z:\\System\\Library\\Fonts\\Supplemental\\Gurmukhi Sangam MN.ttc"
0114:fixme:font:find_matching_face Untranslated charset 255
0114:fixme:font:get_nearest_charset returning DEFAULT_CHARSET face->fs.fsCsb[0] = 00000000 file = L"\\??\\Z:\\System\\Library\\Fonts\\HelveticaNeue.ttc"
0114:fixme:font:find_matching_face Untranslated charset 255
0114:fixme:font:get_nearest_charset returning DEFAULT_CHARSET face->fs.fsCsb[0] = 00000000 file = L"\\??\\Z:\\System\\Library\\Fonts\\HelveticaNeue.ttc"
0114:fixme:font:find_matching_face Untranslated charset 255
